사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
May-20,공항철도 1호선,4202,공덕,44685,59986,5370,6401
May-20,공항철도 1호선,4203,홍대입구,198344,202233,13052,12294
May-20,공항철도 1호선,4204,디지털미디어시티,267728,245446,17718,16593
May-20,공항철도 1호선,4206,마곡나루(서울식물원),154095,143153,8557,8551
May-20,공항철도 1호선,4207,김포공항,208813,122932,15183,10206
May-20,공항철도 1호선,4208,계양,207058,188611,21076,19549
May-20,공항철도 1호선,4209,검암,164043,160701,15265,15342
May-20,공항철도 1호선,4210,청라국제도시,136124,128405,8596,8547
May-20,공항철도 1호선,4211,운서,138776,141130,20157,20038
May-20,공항철도 1호선,4212,공항화물청사,49075,54760,7599,7597
May-20,공항철도 1호선,4213,인천공항1터미널,82940,80974,11620,11871
May-20,공항철도 1호선,4215,인천공항2터미널,43708,38658,4467,4052
May-20,공항철도 1호선,4217,영종,57928,58675,15019,15186
May-20,9호선2~3단계,4126,언주,195575,196066,19771,19328
May-20,9호선2~3단계,4127,선정릉,192700,208631,17951,18667
May-20,9호선2~3단계,4128,삼성중앙,129467,133405,16690,16521
May-20,9호선2~3단계,4129,봉은사,328970,332583,33174,31670
May-20,9호선2~3단계,4130,종합운동장,89411,85973,13290,11969
May-20,9호선2~3단계,4131,삼전,128464,125105,26630,26162
May-20,9호선2~3단계,4132,석촌고분,109073,106610,23796,23939
May-20,9호선2~3단계,4133,석촌,160784,138022,24021,20751
May-20,9호선2~3단계,4134,송파나루,84456,92102,19270,19787
May-20,9호선2~3단계,4135,한성백제,46532,41238,11377,9893
May-20,9호선2~3단계,4136,올림픽공원(한국체대),114766,113250,16488,16681
May-20,9호선2~3단계,4137,둔촌오륜,17014,15789,4401,4382
May-20,9호선2~3단계,4138,중앙보훈병원,161818,141700,57591,56719
May-20,우이신설선,4701,북한산우이,48609,44646,31516,33091
May-20,우이신설선,4702,솔밭공원,35242,31566,23761,24686
May-20,우이신설선,4703,4.19민주묘지,42705,41923,30811,28112
May-20,우이신설선,4704,가오리,62158,57627,36997,38053
May-20,우이신설선,4705,화계,49123,42817,32538,32554
May-20,우이신설선,4706,삼양,28077,28847,26362,28691
May-20,우이신설선,4707,삼양사거리,31474,31472,30236,30809
May-20,우이신설선,4708,솔샘,105884,94224,30065,30951
May-20,우이신설선,4709,북한산보국문,109563,100476,35646,36207
May-20,우이신설선,4710,정릉,72409,64992,38908,36490
May-20,우이신설선,4711,성신여대입구(돈암),54274,68070,24339,24009
May-20,우이신설선,4712,보문,24981,25213,13017,13430
May-20,우이신설선,4713,신설동,32088,34235,20732,18653
